                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4295,                 3.8871,                0.73897,                  1.694,                 1.3861,                0.96126,                0.97325,                0.98312,                0.71749,                0.96737,                0.90196,                0.95971,                0.33775,                0.91409,                 2.8256,                0.71258,                0.86353,                 1.0707,             0.00065517,             0.00065517,             0.00065517
                      2,                0.99748,                 1.4245,                0.73926,                0.71527,                 1.0677,                      1,                0.99986,                  0.995,                0.71442,                      1,                0.99986,                  0.995,                0.79126,                0.98669,                 0.9201,                 0.6831,                0.62784,                 1.1311,              0.0013153,              0.0013153,              0.0013153
                      3,                0.94626,                 0.7307,                0.63488,                0.69467,                 1.0474,                      1,                0.99887,                  0.995,                0.75843,                      1,                0.99887,                  0.995,                0.89503,                0.87162,                0.41752,                0.53816,                0.66845,                 1.0533,              0.0019688,              0.0019688,              0.0019688
                      4,                 1.0089,                0.54263,                0.52758,                0.65554,                   1.08,                0.97714,                      1,                  0.995,                0.72282,                0.97714,                      1,                  0.995,                0.91363,                 0.9877,                0.38924,                0.36473,                0.64927,                 1.1459,              0.0019703,              0.0019703,              0.0019703
                      5,                0.98655,                0.43829,                 0.4393,                0.67387,                 1.0669,                      1,                0.95324,                 0.9863,                0.75318,                      1,                0.95324,                 0.9863,                0.94769,                0.85185,                0.30446,                 0.2447,                0.61051,                 1.0482,              0.0019703,              0.0019703,              0.0019703
                      6,                0.90466,                0.32792,                0.42125,                0.62394,                 1.0442,                0.99986,                      1,                  0.995,                0.75813,                0.99986,                      1,                  0.995,                0.97834,                0.86869,                0.19944,                0.15197,                0.52606,                 1.0552,              0.0019604,              0.0019604,              0.0019604
                      7,                0.89302,                0.31084,                 0.3447,                0.56885,                 1.0208,                0.98542,                0.98039,                0.99427,                0.76276,                0.98542,                0.98039,                0.99427,                0.98804,                 0.8708,                0.14758,                0.11651,                0.53465,                  1.043,              0.0019505,              0.0019505,              0.0019505
                      8,                 0.8366,                0.26292,                0.33398,                0.54849,                 1.0018,                0.99914,                      1,                  0.995,                0.78517,                0.99914,                      1,                  0.995,                0.99253,                0.78906,                0.13378,                0.08072,                0.47219,                 1.0044,              0.0019406,              0.0019406,              0.0019406
                      9,                 0.8786,                0.27915,                 0.3285,                0.55821,                 1.0136,                      1,                0.99905,                  0.995,                0.77547,                      1,                0.99905,                  0.995,                0.99342,                0.80956,                0.13493,                0.06956,                 0.4958,                 1.0406,              0.0019307,              0.0019307,              0.0019307
                     10,                 0.8446,                 0.2642,                0.30068,                 0.5257,                 1.0179,                0.99879,                      1,                  0.995,                0.80935,                0.99879,                      1,                  0.995,                  0.995,                0.75884,                0.15355,                 0.0699,                0.48791,                 1.0231,              0.0019208,              0.0019208,              0.0019208
                     11,                0.81913,                0.21896,                0.27457,                0.50141,                 1.0134,                0.99946,                      1,                  0.995,                0.81364,                0.99946,                      1,                  0.995,                0.99006,                0.70048,                 0.0976,                0.07078,                0.43665,                0.98193,              0.0019109,              0.0019109,              0.0019109
                     12,                0.81015,                0.26712,                0.26965,                0.50592,                0.96636,                0.99797,                      1,                  0.995,                0.80419,                0.99797,                      1,                  0.995,                0.99231,                0.72248,                0.11878,                0.07156,                0.44557,                0.98224,               0.001901,               0.001901,               0.001901
                     13,                0.83214,                0.23393,                0.27778,                0.50211,                 1.0029,                0.99833,                      1,                  0.995,                0.78952,                0.99833,                      1,                  0.995,                0.99411,                0.75314,                 0.1005,                0.05535,                0.44905,                 1.0095,              0.0018911,              0.0018911,              0.0018911
